序号,模块,定时任务名称,定时任务执行地址,参数,,,,,"定时频率
(cron表达式)",备注,是否已配置（此两列由定时配置人填写）,,负责人
,,,,名称,参数类型,是否必填,是否启用,描述,,,dev,uat,
1（示例）,integration,资金回单挂接,/claim/task/fundReceiptHookTask,startDateStr,字符,否,否,开始文件夹 yyyyMMdd，无时设置为空,0 26 3 * * ?,,是,,余唯婷
,,,,endDateStr,字符,否,否,结束文件夹 yyyyMMdd，无时设置为空,,,,,
2,claim,"根据承兑汇票台账应付票据,自动生成内部资金调拨单",/claim/task/abmAutoReconciliation,,,,,,0 0 6 * * ?,,,,杜洋
3,claim,"根据承兑汇票台账应付票据,自动生成内部资金调拨单,自动签认",/claim/task/abmAutoSignFor,,,,,,0 0/10 * * * ?,,,,杜洋
4,claim,T015T016收款自动签认,/claim/task/autoSign4T015T016,,,,,,"0 10 3,12 * * ?",,,,杜洋
5,claim,更改付款列表为已确认,/claim/task/confirmPayList,,,,,,0 50 4 * * ?,,,,杜洋
6,claim,根据承兑汇票，生成T014报账单,/claim/task/createT014Claim,,,,,,0 0/10 * * * ?,,,,杜洋
7,claim,资金上划下拨-数据签认,/claim/task/fundAllocationSign,param,字符,否,是,收款池表id，无时设置为空,"0 0 4,13,18 * * ?",,,,杜洋
8,claim,定时导入付款凭证（打卡表）-内网银行托收,/claim/task/importLedgerCert4BankReceived,param,字符,否,是,计划付款行id集，以逗号隔开，无时设置为空,0 0/30 * * * ?,,,,杜洋
9,claim,付款失败T007数据更新标识,/claim/task/payFailUpdateVendor,param,字符,否,是,计划付款行id，无时设置为空,0 0/5 * * * ?,,,,杜洋
10,claim,所有可支付数据状态自动更新成“放弃支付”,/claim/task/paylistUpdate,param,字符,否,是,计划付款行id，无时设置为空,0 18 23 L * ?,,,,杜洋
11,claim,付款失败挂账发送邮件,/claim/task/paymentFailSendMail,param,字符,否,是,报账单id，无时设置为空,0 0/5 * * * ?,,,,杜洋
12,claim,资金自动发起确认,/claim/task/startConfirmPayList,,,,,,0 0/20 8-19 * * ?,,,,杜洋
13,claim,承兑汇票工作台T044和T051自动发送,/claim/task/t044AndT051AutoSendProcess,param,字符,否,是,报账单id，无时设置为空,0 0/5 * * * ?,,,,杜洋
14,claim,外币报账单生成内往凭证,/claim/task/t057PaylistConfirm,,,,,,0 0/5 * * * ?,,,,杜洋
15,claim,更新承兑汇票客户信息,/claim/task/tMisPaymentCustomers,,,,,,0 10 23 * * ?,,,,杜洋
16,claim,并付款定时导入,/claim/task/importApCertMerge,,,,,,0 0/2 * * * ?,,,,杜洋
17,claim,虚拟付款定时导入,/claim/task/importApCert,,,,,,0 0/2 * * * ?,,,,杜洋
18,claim,应付延迟导入,/claim/task/importApDelay,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/2 * * * ?,,,,杜洋
19,claim,付款凭证导入（打卡表）,/claim/task/importLedgerCert,param,字符,否,是,计划付款行id集，以逗号隔开，无时设置为空,0 0/30 * * * ?,,,,杜洋
20,claim,资金上划下拨-总账收付款凭证导入,/claim/task/importLedgerTRPayment,param,字符,否,是,报账单编号，无时设置为空,0 0/2 * * * ?,,,,杜洋
21,claim,付款凭证导入（付款计划）,/claim/task/importTRCert,param,字符,否,是,计划付款行id集，以逗号隔开，无时设置为空,0 0/5 * * * ?,,,,杜洋
22,claim,验证应付发票取消状态,/claim/task/validateApInvoiceCancel,,,,,,35 0/2 * * * ?,,,,杜洋
23,claim,验证草稿发票,/claim/task/validateApInvoiceERP,,,,,,0 0/3 * * * ?,,,,杜洋
24,claim,验证应付发票,/claim/task/validateApInvoice,,,,,,0 0/2 * * * ?,,,,杜洋
